StationId,StationName,City,State,Location,latitude,longitude
TG005,"Sanathnagar, Hyderabad ",Hyderabad,Telangana,"(17.4569654, 78.4434781)",17.4569654,78.4434781
TG006,"Zoo Park, Hyderabad ",Hyderabad,Telangana,"(17.3569337, 78.4513648)",17.3569337,78.4513648
UP001,"Sanjay Palace, Agra ",Agra,Uttar Pradesh,"(27.199145494593427, 78.0058174980374)",27.199145494593427,78.0058174980374
UP002,"New Collectorate, Baghpat ",Baghpat,Uttar Pradesh,"(28.975643072112206, 77.2180241665779)",28.975643072112206,77.2180241665779
UP003,"Yamunapuram, Bulandshahr ",Bulandshahr,Uttar Pradesh,"(28.40814032232727, 77.83048745428533)",28.40814032232727,77.83048745428533
UP004,"Indirapuram, Ghaziabad ",Ghaziabad,Uttar Pradesh,"(28.6423908, 77.3684892)",28.6423908,77.3684892
UP005,"Loni, Ghaziabad ",Ghaziabad,Uttar Pradesh,"(28.7317295, 77.2900919)",28.7317295,77.2900919
UP006,"Sanjay Nagar, Ghaziabad ",Ghaziabad,Uttar Pradesh,"(28.6313989, 77.4709115)",28.6313989,77.4709115
UP007,"Vasundhara, Ghaziabad ",Ghaziabad,Uttar Pradesh,"(28.6619725, 77.3732972)",28.6619725,77.3732972
UP008,"Knowledge Park - III, Greater Noida ",Greater Noida,Uttar Pradesh,"(28.478588, 77.4813689)",28.478588,77.4813689
UP009,"Knowledge Park - V, Greater Noida ",Greater Noida,Uttar Pradesh,"(28.478588, 77.4813689)",28.478588,77.4813689
UP010,"Anand Vihar, Hapur ",Hapur,Uttar Pradesh,"(28.72193007836998, 77.75378458263754)",28.72193007836998,77.75378458263754
UP011,"Nehru Nagar, Kanpur ",Kanpur,Uttar Pradesh,"(26.4722201, 80.3241388)",26.4722201,80.3241388
UP012,"Central School, Lucknow ",Lucknow,Uttar Pradesh,"(26.8824594, 81.0004318)",26.8824594,81.0004318
UP013,"Gomti Nagar, Lucknow ",Lucknow,Uttar Pradesh,"(26.8611743, 81.0039196)",26.8611743,81.0039196
UP014,"Lalbagh, Lucknow ",Lucknow,Uttar Pradesh,"(26.7908341, 80.8701804)",26.7908341,80.8701804
UP015,"Nishant Ganj, Lucknow ",Lucknow,Uttar Pradesh,"(26.866348661658108, 80.95033171067419)",26.866348661658108,80.95033171067419
UP016,"Talkatora District Industries Center, Lucknow ",Lucknow,Uttar Pradesh,"(26.83935629597923, 80.93808712065486)",26.83935629597923,80.93808712065486
UP017,"Ganga Nagar, Meerut ",Meerut,Uttar Pradesh,"(28.9997246, 77.7593586)",28.9997246,77.7593586
UP018,"Jai Bhim Nagar, Meerut ",Meerut,Uttar Pradesh,"(28.956187, 77.7604062)",28.956187,77.7604062
UP019,"Pallavpuram Phase 2, Meerut",Meerut,Uttar Pradesh,"(29.0630475, 77.714386)",29.0630475,77.714386
UP020,"Lajpat Nagar, Moradabad ",Moradabad,Uttar Pradesh,"(28.824947291398267, 78.78251772344811)",28.824947291398267,78.78251772344811
UP021,"New Mandi, Muzaffarnagar ",Muzzaffarnagar,Uttar Pradesh,"(29.468332705159103, 77.71364508695686)",29.468332705159103,77.71364508695686
UP022,"Sector - 125, Noida",Noida,Uttar Pradesh,"(28.5454077, 77.3297605)",28.5454077,77.3297605
UP023,"Sector - 62, Noida",Noida,Uttar Pradesh,"(28.6211447, 77.3643493)",28.6211447,77.3643493
UP024,"Sector-1, Noida",Noida,Uttar Pradesh,"(28.5902291, 77.3124577)",28.5902291,77.3124577
UP025,"Sector-116, Noida",Noida,Uttar Pradesh,"(28.5648814, 77.4001488)",28.5648814,77.4001488
UP026,"Ardhali Bazar, Varanasi ",Varanasi,Uttar Pradesh,"(25.347623860163026, 82.98088698756382)",25.347623860163026,82.98088698756382
WB001,"Asansol Court Area, Asansol ",Asansol,West Bengal,"(23.688697706309135, 86.94786419042806)",23.688697706309135,86.94786419042806
WB002,"Sidhu Kanhu Indoor Stadium, Durgapur ",Durgapur,West Bengal,"(23.54037862772901, 87.29144585259569)",23.54037862772901,87.29144585259569
WB003,"Haldia, Haldia ",Haldia,West Bengal,"(22.028124, 88.0632655)",22.028124,88.0632655
WB004,"Belur Math, Howrah ",Howrah,West Bengal,"(22.6323298, 88.3564507)",22.6323298,88.3564507
WB005,"Ghusuri, Howrah ",Howrah,West Bengal,"(22.610537656200176, 88.35067968498835)",22.610537656200176,88.35067968498835
WB006,"Padmapukur, Howrah ",Howrah,West Bengal,"(22.5682566, 88.3057431)",22.5682566,88.3057431
WB007,"Ballygunge, Kolkata ",Kolkata,West Bengal,"(22.5280337, 88.3659084)",22.5280337,88.3659084
WB008,"Bidhannagar, Kolkata ",Kolkata,West Bengal,"(22.5917378, 88.3909399)",22.5917378,88.3909399
WB009,"Fort William, Kolkata ",Kolkata,West Bengal,"(22.5544966, 88.3380132)",22.5544966,88.3380132
WB010,"Jadavpur, Kolkata ",Kolkata,West Bengal,"(22.495499, 88.3709006)",22.495499,88.3709006
WB011,"Rabindra Bharati University, Kolkata ",Kolkata,West Bengal,"(22.58440948424348, 88.35935947838648)",22.58440948424348,88.35935947838648
