,StationId,StationName,City,State,Status,Location,Latitude,Longitude
201,UP012,"Central School, Lucknow ",Lucknow,Uttar Pradesh,Active,"(26.8824594, 81.0004318)",26.8824594,81.0004318
202,UP013,"Gomti Nagar, Lucknow ",Lucknow,Uttar Pradesh,Active,"(26.8611743, 81.0039196)",26.8611743,81.0039196
203,UP014,"Lalbagh, Lucknow ",Lucknow,Uttar Pradesh,Active,"(26.7908341, 80.8701804)",26.7908341,80.8701804
204,UP015,"Nishant Ganj, Lucknow ",Lucknow,Uttar Pradesh,Inactive,,,
205,UP016,"Talkatora District Industries Center, Lucknow ",Lucknow,Uttar Pradesh,Active,,,
206,UP017,"Ganga Nagar, Meerut ",Meerut,Uttar Pradesh,,"(28.9997246, 77.7593586)",28.9997246,77.7593586
207,UP018,"Jai Bhim Nagar, Meerut ",Meerut,Uttar Pradesh,,"(28.956187, 77.7604062)",28.956187,77.7604062
208,UP019,"Pallavpuram Phase 2, Meerut ",Meerut,Uttar Pradesh,,"(29.0630475, 77.714386)",29.0630475,77.714386
209,UP020,"Lajpat Nagar, Moradabad ",Moradabad,Uttar Pradesh,,,,
210,UP021,"New Mandi, Muzaffarnagar ",Muzzaffarnagar,Uttar Pradesh,,,,
211,UP022,"Sector - 125, Noida ",Noida,Uttar Pradesh,,"(28.5454077, 77.3297605)",28.5454077,77.3297605
212,UP023,"Sector - 62, Noida ",Noida,Uttar Pradesh,,"(28.6211447, 77.3643493)",28.6211447,77.3643493
213,UP024,"Sector-1, Noida ",Noida,Uttar Pradesh,,"(28.5902291, 77.3124577)",28.5902291,77.3124577
214,UP025,"Sector-116, Noida ",Noida,Uttar Pradesh,,"(28.5648814, 77.4001488)",28.5648814,77.4001488
215,UP026,"Ardhali Bazar, Varanasi ",Varanasi,Uttar Pradesh,,,,
216,WB001,"Asansol Court Area, Asansol ",Asansol,West Bengal,,,,
217,WB002,"Sidhu Kanhu Indoor Stadium, Durgapur ",Durgapur,West Bengal,,,,
218,WB003,"Haldia, Haldia ",Haldia,West Bengal,,"(22.028124, 88.0632655)",22.028124,88.0632655
219,WB004,"Belur Math, Howrah ",Howrah,West Bengal,,"(22.6323298, 88.3564507)",22.6323298,88.3564507
220,WB005,"Ghusuri, Howrah ",Howrah,West Bengal,,,,
221,WB006,"Padmapukur, Howrah ",Howrah,West Bengal,,"(22.5682566, 88.3057431)",22.5682566,88.3057431
222,WB007,"Ballygunge, Kolkata ",Kolkata,West Bengal,Active,"(22.5280337, 88.3659084)",22.5280337,88.3659084
223,WB008,"Bidhannagar, Kolkata ",Kolkata,West Bengal,Active,"(22.5917378, 88.3909399)",22.5917378,88.3909399
224,WB009,"Fort William, Kolkata ",Kolkata,West Bengal,Active,"(22.5544966, 88.3380132)",22.5544966,88.3380132
225,WB010,"Jadavpur, Kolkata ",Kolkata,West Bengal,Active,"(22.495499, 88.3709006)",22.495499,88.3709006
226,WB011,"Rabindra Bharati University, Kolkata ",Kolkata,West Bengal,Active,,,
227,WB012,"Rabindra Sarobar, Kolkata ",Kolkata,West Bengal,Active,"(22.5122563, 88.3635738)",22.5122563,88.3635738
228,WB013,"Victoria, Kolkata ",Kolkata,West Bengal,Active,"(22.5497837, 88.3391136)",22.5497837,88.3391136
229,WB014,"Ward-32 Bapupara, Siliguri ",Siliguri,West Bengal,,,,
