stationid,year,season,aqi_mean,city_clean,state_clean,district_clean,district_seasonal_rainfall_mm,state_seasonal_rainfall_mm,weighted_seasonal_rainfall_mm,rainfall_source,log_weighted_seasonal_rainfall_mm
DL034,2018,3,151.289156626506,delhi,delhi,,,5.4320179830793744,5.4320179830793744,state_only,1.8612883277495251
DL034,2018,4,335.5869565217391,delhi,delhi,,,1.0373160736348974,1.0373160736348974,state_only,0.7116332914496049
DL034,2019,1,309.97777777777776,delhi,delhi,,,1.4049928068465298,1.4049928068465298,state_only,0.877546912637048
DL034,2019,2,249.65116279069767,delhi,delhi,,,6.427121706737048,6.427121706737048,state_only,2.0051383956186055
DL034,2019,3,178.54347826086956,delhi,delhi,,,5.4320179830793744,5.4320179830793744,state_only,1.8612883277495251
DL034,2019,4,353.82608695652175,delhi,delhi,,,1.0373160736348974,1.0373160736348974,state_only,0.7116332914496049
DL034,2020,1,266.5054945054945,delhi,delhi,,,1.4049928068465298,1.4049928068465298,state_only,0.877546912637048
DL034,2020,2,144.02197802197801,delhi,delhi,,,6.427121706737048,6.427121706737048,state_only,2.0051383956186055
DL034,2020,3,111.0,delhi,delhi,,,5.4320179830793744,5.4320179830793744,state_only,1.8612883277495251
DL035,2018,1,283.859649122807,delhi,delhi,,,1.4049928068465298,1.4049928068465298,state_only,0.877546912637048
DL035,2018,2,249.95555555555555,delhi,delhi,,,6.427121706737048,6.427121706737048,state_only,2.0051383956186055
DL035,2018,3,108.27777777777777,delhi,delhi,,,5.4320179830793744,5.4320179830793744,state_only,1.8612883277495251
DL035,2018,4,364.2826086956522,delhi,delhi,,,1.0373160736348974,1.0373160736348974,state_only,0.7116332914496049
DL035,2019,1,276.24444444444447,delhi,delhi,,,1.4049928068465298,1.4049928068465298,state_only,0.877546912637048
DL035,2019,2,202.62921348314606,delhi,delhi,,,6.427121706737048,6.427121706737048,state_only,2.0051383956186055
DL035,2019,3,111.62222222222222,delhi,delhi,,,5.4320179830793744,5.4320179830793744,state_only,1.8612883277495251
DL035,2019,4,310.5652173913044,delhi,delhi,,,1.0373160736348974,1.0373160736348974,state_only,0.7116332914496049
DL035,2020,1,232.12087912087912,delhi,delhi,,,1.4049928068465298,1.4049928068465298,state_only,0.877546912637048
DL035,2020,2,130.05747126436782,delhi,delhi,,,6.427121706737048,6.427121706737048,state_only,2.0051383956186055
DL035,2020,3,103.0,delhi,delhi,,,5.4320179830793744,5.4320179830793744,state_only,1.8612883277495251
DL036,2018,3,100.46067415730337,delhi,delhi,,,5.4320179830793744,5.4320179830793744,state_only,1.8612883277495251
DL036,2018,4,302.8478260869565,delhi,delhi,,,1.0373160736348974,1.0373160736348974,state_only,0.7116332914496049
DL036,2019,1,247.96666666666667,delhi,delhi,,,1.4049928068465298,1.4049928068465298,state_only,0.877546912637048
DL036,2019,2,201.63333333333333,delhi,delhi,,,6.427121706737048,6.427121706737048,state_only,2.0051383956186055
DL036,2019,3,99.6086956521739,delhi,delhi,,,5.4320179830793744,5.4320179830793744,state_only,1.8612883277495251
DL036,2019,4,292.2173913043478,delhi,delhi,,,1.0373160736348974,1.0373160736348974,state_only,0.7116332914496049
DL036,2020,1,209.4835164835165,delhi,delhi,,,1.4049928068465298,1.4049928068465298,state_only,0.877546912637048
DL036,2020,2,123.22727272727273,delhi,delhi,,,6.427121706737048,6.427121706737048,state_only,2.0051383956186055
DL036,2020,3,60.0,delhi,delhi,,,5.4320179830793744,5.4320179830793744,state_only,1.8612883277495251
DL037,2018,1,283.4561403508772,delhi,delhi,,,1.4049928068465298,1.4049928068465298,state_only,0.877546912637048
DL037,2018,2,229.26436781609195,delhi,delhi,,,6.427121706737048,6.427121706737048,state_only,2.0051383956186055
DL037,2018,3,127.55434782608695,delhi,delhi,,,5.4320179830793744,5.4320179830793744,state_only,1.8612883277495251
DL037,2018,4,369.57608695652175,delhi,delhi,,,1.0373160736348974,1.0373160736348974,state_only,0.7116332914496049
DL037,2019,1,280.0111111111111,delhi,delhi,,,1.4049928068465298,1.4049928068465298,state_only,0.877546912637048
DL037,2019,2,219.33333333333334,delhi,delhi,,,6.427121706737048,6.427121706737048,state_only,2.0051383956186055
DL037,2019,3,128.62222222222223,delhi,delhi,,,5.4320179830793744,5.4320179830793744,state_only,1.8612883277495251
DL037,2019,4,341.69565217391306,delhi,delhi,,,1.0373160736348974,1.0373160736348974,state_only,0.7116332914496049
DL037,2020,1,258.24175824175825,delhi,delhi,,,1.4049928068465298,1.4049928068465298,state_only,0.877546912637048
DL037,2020,2,124.96703296703296,delhi,delhi,,,6.427121706737048,6.427121706737048,state_only,2.0051383956186055
DL037,2020,3,96.0,delhi,delhi,,,5.4320179830793744,5.4320179830793744,state_only,1.8612883277495251
DL038,2018,1,308.8421052631579,delhi,delhi,,,1.4049928068465298,1.4049928068465298,state_only,0.877546912637048
